nn 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 
00 -1 -1 -1 -1 -1 02 02 02 02 02 02 02 02 02 02 02 -1 -1 
01 -1 -1 02 02 02 02 -1 28 28 28 -1 -1 09 09 09 -1 22 -1 
02 -1 -1 14 -1 03 -1 -1 -1 -1 -1 -1 -1 -1 17 -1 20 22 -1 
03 -1 -1 -1 26 03 04 04 04 04 04 -1 13 -1 -1 07 20 22 -1 
04 -1 -1 -1 -1 03 04 10 10 -1 23 -1 13 00 -1 07 20 22 -1 
05 -1 -1 13 -1 -1 04 10 -1 05 23 01 -1 00 -1 07 20 -1 -1 
06 -1 06 10 10 10 10 10 -1 05 23 01 11 00 00 07 20 -1 -1 
07 -1 -1 10 17 17 17 17 -1 05 23 01 11 24 -1 07 07 -1 -1 
08 23 23 -1 17 -1 -1 -1 25 25 -1 01 -1 27 27 -1 -1 15 -1 
09 28 -1 16 06 06 06 06 -1 25 01 01 24 24 -1 -1 19 -1 -1 
10 12 12 -1 -1 -1 -1 -1 -1 25 -1 24 24 -1 -1 -1 -1 -1 -1 
11 14 -1 05 05 05 05 05 05 05 -1 -1 -1 -1 -1 -1 -1 -1 -1 
12 -1 14 14 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 

nn 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 
00 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
01 -1 08 08 08 08 08 08 28 -1 -1 15 26 26 26 26 26 -1 -1 
02 -1 -1 14 14 -1 -1 -1 -1 26 26 26 26 18 17 -1 -1 -1 -1 
03 23 23 23 26 26 26 26 26 26 04 04 04 04 17 -1 -1 -1 -1 
04 23 -1 -1 -1 12 23 23 23 23 23 13 13 22 22 22 22 22 -1 
05 23 21 13 13 12 -1 -1 -1 -1 13 13 -1 -1 -1 -1 -1 -1 -1 
06 23 06 06 13 13 13 13 13 13 13 20 20 20 20 20 20 -1 -1 
07 23 -1 06 06 -1 -1 17 22 05 -1 20 11 24 21 -1 -1 -1 -1 
08 23 -1 20 06 -1 -1 -1 22 05 20 20 11 24 -1 18 18 15 -1 
09 28 19 19 06 -1 -1 -1 22 05 -1 -1 11 24 -1 -1 19 -1 -1 
10 12 -1 -1 -1 -1 -1 -1 22 05 -1 -1 11 -1 -1 -1 -1 -1 -1 
11 14 22 22 22 22 22 22 22 05 -1 -1 11 11 -1 -1 -1 -1 -1 
12 -1 -1 -1 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 

