nn 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 
00 -1 07 07 07 07 07 07 -1 -1 -1 -1 -1 20 20 20 20 -1 -1 
01 -1 -1 -1 11 -1 -1 -1 -1 -1 -1 -1 -1 20 11 11 -1 12 06 
02 09 09 09 -1 28 -1 -1 -1 17 17 17 17 -1 11 -1 22 12 06 
03 -1 -1 -1 -1 28 -1 -1 -1 17 16 16 16 -1 -1 06 22 12 06 
04 -1 19 -1 -1 28 -1 -1 02 -1 16 05 21 21 -1 16 22 12 06 
05 -1 -1 08 08 -1 21 21 02 26 -1 05 -1 01 -1 16 22 -1 06 
06 -1 -1 26 08 25 25 21 02 -1 -1 05 01 01 -1 16 22 06 06 
07 25 25 26 17 17 04 10 02 10 -1 05 27 27 -1 16 22 -1 -1 
08 25 24 -1 17 -1 04 -1 02 10 -1 05 -1 -1 13 00 -1 23 -1 
09 25 -1 18 -1 -1 02 02 02 10 10 05 05 05 05 05 05 23 -1 
10 09 09 -1 02 02 02 -1 23 23 -1 13 13 13 13 23 23 23 -1 
11 -1 -1 02 02 -1 -1 -1 -1 23 15 15 01 -1 13 23 -1 -1 -1 
12 -1 -1 -1 -1 -1 -1 -1 -1 23 23 23 23 23 23 23 -1 -1 -1 

nn 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 
00 -1 -1 -1 11 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
01 -1 14 -1 11 -1 -1 -1 -1 -1 -1 05 14 14 14 14 14 -1 06 
02 09 19 19 19 19 19 19 19 19 19 05 -1 00 11 -1 -1 -1 -1 
03 09 19 -1 -1 17 17 17 17 17 19 19 19 19 -1 06 06 06 -1 
04 09 19 -1 -1 17 -1 -1 -1 -1 16 05 21 00 00 16 -1 12 -1 
05 09 04 26 26 17 -1 -1 -1 26 21 15 15 -1 00 00 -1 12 -1 
06 09 -1 26 08 17 25 21 21 21 21 15 01 01 -1 00 -1 12 -1 
07 09 25 25 25 17 04 10 10 10 -1 -1 01 01 08 00 22 12 -1 
08 09 24 22 22 -1 -1 -1 -1 -1 24 -1 01 -1 13 00 22 12 -1 
09 09 23 23 22 22 22 22 22 22 22 22 22 22 22 22 22 12 -1 
10 09 -1 23 23 23 23 23 23 12 12 12 12 12 12 12 12 12 -1 
11 -1 12 12 12 12 12 12 12 12 -1 15 01 01 13 -1 -1 -1 -1 
12 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 

