Average connectivity;Average absolute cost;Median absolute Cost;Average relative cost;Median relative cost;Percentage Hamiltonian
0.125;2;2;0.125;0.125;0
0.25;2.25;2;0.140625;0.125;0
0.375;2.75;3;0.171875;0.1875;0
0.5;3.35;3;0.209375;0.1875;0
0.625;3.45;3.5;0.215625;0.21875;0
0.75;4.2;4;0.2625;0.25;0
0.875;5.7;5.5;0.35625;0.34375;0
1;6.85;7;0.428125;0.4375;0
1.125;8.45;8;0.528125;0.5;0
1.25;8.15;8;0.509375;0.5;0
1.375;11.3;11;0.70625;0.6875;0
1.5;14.45;12.5;0.903125;0.78125;0
1.625;17.65;16.5;1.103125;1.03125;0
1.75;24.6;22;1.5375;1.375;0
1.875;35.4;29.5;2.2125;1.84375;0
2;47.95;45;2.996875;2.8125;0
2.125;71.9;67.5;4.49375;4.21875;0
2.25;108.35;101;6.771875;6.3125;0
2.375;171.95;170;10.746875;10.625;0
2.5;211.8;190.5;13.2375;11.90625;0
2.625;298.5;294.5;18.65625;18.40625;0
2.75;377.65;360;23.603125;22.5;0
2.875;617.85;606;38.615625;37.875;0
3;905.15;757;56.571875;47.3125;0
3.125;1341.6;1230.5;83.85;76.90625;0.05
3.25;2309.65;2386;144.353125;149.125;0
3.375;2990.35;2877.5;186.896875;179.84375;0.05
3.5;4549.4;4920;284.3375;307.5;0.15
3.625;6085.4;6137;380.3375;383.5625;0.1
3.75;9112.15;8102;569.509375;506.375;0
3.875;13261.85;14497.5;828.865625;906.09375;0.25
4;14467.35;16290.5;904.209375;1018.15625;0.3
4.125;20355.25;21494;1272.203125;1343.375;0.3
4.25;30138.2;31195.5;1883.6375;1949.71875;0.3
4.375;40625.2;50960;2539.075;3185;0.4
4.5;26975.45;4262;1685.965625;266.375;0.8
4.625;69075;23402;4317.1875;1462.625;0.55
4.75;55244.35;16116.5;3452.771875;1007.28125;0.75
4.875;44056.85;6202;2753.553125;387.625;0.85
5;109011.9;5082;6813.24375;317.625;0.75
5.125;146035.25;8833;9127.203125;552.0625;0.75
5.25;127967.8;10369;7997.9875;648.0625;0.85
5.375;83038.55;5451.5;5189.909375;340.71875;0.9
5.5;233402.45;8041.5;14587.65313;502.59375;0.85
5.625;206089.7;2468;12880.60625;154.25;0.9
5.75;2001.9;723.5;125.11875;45.21875;1
5.875;25448.35;2796.5;1590.521875;174.78125;1
6;175335.5;1805.5;10958.46875;112.84375;0.95
6.125;373188.8;2328;23324.3;145.5;0.9
6.25;549641.5;3134.5;34352.59375;195.90625;0.9
6.375;573088.9;701.5;35818.05625;43.84375;0.9
6.5;2297.9;1676;143.61875;104.75;1
6.625;31703.55;625.5;1981.471875;39.09375;1
6.75;5756.65;240.5;359.790625;15.03125;1
6.875;11253;491;703.3125;30.6875;1
7;3904.45;518;244.028125;32.375;1
7.125;3681.8;395;230.1125;24.6875;1
7.25;136327.35;451;8520.459375;28.1875;1
7.375;17948.4;392;1121.775;24.5;1
7.5;158192.65;217.5;9887.040625;13.59375;1
7.625;810.6;153;50.6625;9.5625;1
7.75;410.4;136;25.65;8.5;1
7.875;4512.75;195.5;282.046875;12.21875;1
8;13286097.65;167.5;830381.1031;10.46875;0.95
8.125;1925.2;334.5;120.325;20.90625;1
8.25;41315.15;132;2582.196875;8.25;1
8.375;1466.1;216;91.63125;13.5;1
8.5;2213.75;273.5;138.359375;17.09375;1
8.625;789.65;154;49.353125;9.625;1
8.75;246.25;152.5;15.390625;9.53125;1
8.875;356.85;71;22.303125;4.4375;1
9;11841;245.5;740.0625;15.34375;1
9.125;384.55;55;24.034375;3.4375;1
9.25;133.95;96;8.371875;6;1
