GraphID;Nodes;Average connectivity;Connectivity variance;Connectivity Standard dev;Edges;Hamiltonian;cost (Iterations);cost (seconds);cost (iterations / nodes);path;Connectivity map
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
0;16;0.125;0;0;[[0,1]];FALSE;2;0;0.125;[0];{0:"1",1:"1",2:"0",3:"0",4:"0",5:"0",6:"0",7:"0",8:"0",9:"0",10:"0",11:"0",12:"0",13:"0",14:"0",15:"0"}
