Average connectivity;Average absolute cost;Median absolute Cost;Average relative cost;Median relative cost;Percentage Hamiltonian
0.125;1;1;0.0625;0.0625;0
0.25;1;1;0.0625;0.0625;0
0.375;1;1;0.0625;0.0625;0
0.5;1;1;0.0625;0.0625;0
0.625;1;1;0.0625;0.0625;0
0.75;1;1;0.0625;0.0625;0
0.875;1;1;0.0625;0.0625;0
1;1;1;0.0625;0.0625;0
1.125;1;1;0.0625;0.0625;0
1.25;1;1;0.0625;0.0625;0
1.375;1;1;0.0625;0.0625;0
1.5;1.05;1;0.065625;0.0625;0
1.625;1.15;1;0.071875;0.0625;0
1.75;1.2;1;0.075;0.0625;0
1.875;2.75;1;0.171875;0.0625;0
2;3.5;1;0.21875;0.0625;0
2.125;3.25;1;0.203125;0.0625;0
2.25;16.75;1;1.046875;0.0625;0
2.375;30.05;1;1.878125;0.0625;0
2.5;52.15;1;3.259375;0.0625;0
2.625;121.7;1;7.60625;0.0625;0
2.75;233.5;297;14.59375;18.5625;0
2.875;443;518;27.6875;32.375;0
3;679.55;889.5;42.471875;55.59375;0
3.125;873.85;830;54.615625;51.875;0.05
3.25;2215.2;2613;138.45;163.3125;0
3.375;4093.25;4505.5;255.828125;281.59375;0.05
3.5;2959.35;81.5;184.959375;5.09375;0.15
3.625;7073.75;7467;442.109375;466.6875;0.1
3.75;10805.5;11027;675.34375;689.1875;0
3.875;11866.5;10943.5;741.65625;683.96875;0.25
4;15381.35;15594.5;961.334375;974.65625;0.3
4.125;20257.85;25469.5;1266.115625;1591.84375;0.3
4.25;29125.8;26894.5;1820.3625;1680.90625;0.3
4.375;37020.4;10649;2313.775;665.5625;0.4
4.5;28089.95;430.5;1755.621875;26.90625;0.8
4.625;81032.35;12864;5064.521875;804;0.55
4.75;62812.85;358.5;3925.803125;22.40625;0.75
4.875;60088.45;51.5;3755.528125;3.21875;0.85
5;139014.4;251.5;8688.4;15.71875;0.75
5.125;157982.5;87;9873.90625;5.4375;0.75
5.25;108858.5;42;6803.65625;2.625;0.85
5.375;80076.45;27;5004.778125;1.6875;0.9
5.5;231775.45;41;14485.96563;2.5625;0.85
5.625;217559.25;66;13597.45313;4.125;0.9
5.75;5613.05;29.5;350.815625;1.84375;1
5.875;883.5;30.5;55.21875;1.90625;1
6;329498.25;71.5;20593.64063;4.46875;0.95
6.125;542634.8;111;33914.675;6.9375;0.9
6.25;891621.55;45.5;55726.34688;2.84375;0.9
6.375;671796.2;26.5;41987.2625;1.65625;0.9
6.5;13636.85;25;852.303125;1.5625;1
6.625;4649.75;24;290.609375;1.5;1
6.75;1068.2;51;66.7625;3.1875;1
6.875;223.1;21;13.94375;1.3125;1
7;2210.6;36;138.1625;2.25;1
7.125;34.55;18;2.159375;1.125;1
7.25;1660.25;26.5;103.765625;1.65625;1
7.375;413998.1;29;25874.88125;1.8125;1
7.5;4929.35;158.5;308.084375;9.90625;1
7.625;568.1;19.5;35.50625;1.21875;1
7.75;44.35;21;2.771875;1.3125;1
7.875;4468.05;25;279.253125;1.5625;1
8;14971220.8;19.5;935701.3;1.21875;0.95
8.125;368.35;21;23.021875;1.3125;1
8.25;60.6;32;3.7875;2;1
8.375;371.6;18;23.225;1.125;1
8.5;62.9;21;3.93125;1.3125;1
8.625;76.45;18;4.778125;1.125;1
8.75;1565.65;17;97.853125;1.0625;1
8.875;1696.4;19.5;106.025;1.21875;1
9;23.45;18;1.465625;1.125;1
9.125;5660.8;17;353.8;1.0625;1
9.25;190.15;18;11.884375;1.125;1
9.375;96;16;6;1;1
9.5;21.35;18;1.334375;1.125;1
9.625;22.65;18;1.415625;1.125;1
9.75;19.3;18;1.20625;1.125;1
9.875;19.1;18;1.19375;1.125;1
10;115.75;17;7.234375;1.0625;1
10.125;406.1;18;25.38125;1.125;1
10.25;20.5;18;1.28125;1.125;1
10.375;20.95;16;1.309375;1;1
10.5;38.45;18;2.403125;1.125;1
10.625;34.7;16;2.16875;1;1
10.75;36.45;16;2.278125;1;1
10.875;18.8;18;1.175;1.125;1
11;703.75;17;43.984375;1.0625;1
11.125;21.05;16;1.315625;1;1
11.25;35.8;18;2.2375;1.125;1
11.375;115.65;16;7.228125;1;1
11.5;18.7;17;1.16875;1.0625;1
11.625;18.7;17;1.16875;1.0625;1
11.75;18.9;16;1.18125;1;1
11.875;17.1;16;1.06875;1;1
12;17.8;18;1.1125;1.125;1
12.125;16.9;16;1.05625;1;1
12.25;16.55;16;1.034375;1;1
12.375;20.75;16;1.296875;1;1
12.5;16.85;16;1.053125;1;1
12.625;18.15;17;1.134375;1.0625;1
12.75;17.1;16;1.06875;1;1
12.875;17.7;16;1.10625;1;1
13;17.75;16;1.109375;1;1
13.125;17.45;16;1.090625;1;1
13.25;16.3;16;1.01875;1;1
13.375;16.4;16;1.025;1;1
13.5;16.45;16;1.028125;1;1
13.625;17.2;16;1.075;1;1
13.75;17.1;16;1.06875;1;1
13.875;16.85;16;1.053125;1;1
14;16.2;16;1.0125;1;1
14.125;16.1;16;1.00625;1;1
14.25;16.4;16;1.025;1;1
14.375;16.55;16;1.034375;1;1
14.5;16.55;16;1.034375;1;1
14.625;16.5;16;1.03125;1;1
14.75;16.1;16;1.00625;1;1
14.875;16;16;1;1;1
15;16;16;1;1;1
