Average connectivity;Average absolute cost;Median absolute Cost;Average relative cost;Median relative cost;Percentage Hamiltonian
0.083333;0;0;0;0;0
0.166667;0;0;0;0;0
0.250000;0;0;0;0;0
0.333333;0;0;0;0;0
0.416667;0;0;0;0;0
0.500000;0;0;0;0;0
0.583333;0;0;0;0;0
0.666667;0;0;0;0;0
0.750000;0;0;0;0;0
0.833333;0;0;0;0;0
0.916667;0;0;0;0;0
1.000000;0;0;0;0;0
1.083333;0;0;0;0;0
1.166667;0;0;0;0;0
1.250000;0;0;0;0;0
1.333333;0;0;0;0;0
1.416667;0;0;0;0;0
1.500000;0;0;0;0;0
1.583333;0;0;0;0;0
1.666667;0;0;0;0;0
1.750000;0;0;0;0;0
1.833333;0;0;0;0;0
1.916667;0;0;0;0;0
2.000000;0;0;0;0;0
2.083333;0;0;0;0;0
2.166667;0;0;0;0;0
2.250000;0;0;0;0;0
2.333333;0;0;0;0;0
2.416667;0;0;0;0;0
2.500000;0;0;0;0;0
2.583333;0;0;0;0;0
2.666667;0;0;0;0;0
2.750000;0;0;0;0;0
2.833333;0;0;0;0;0
2.916667;0;0;0;0;0
3.000000;0;0;0;0;0
3.083333;0;0;0;0;0
3.166667;0;0;0;0;0
3.250000;0;0;0;0;0
3.333333;0;0;0;0;0
3.416667;1004;0;41.83333333;0;0
3.500000;4530.9;0;188.7875;0;0
3.583333;2.4;0;0.1;0;0.1
3.666667;0;0;0;0;0
3.750000;0;0;0;0;0
3.833333;12.95;0;0.539583333;0;0.1
3.916667;6632.7;0;276.3625;0;0.05
4.000000;1670.1;0;69.5875;0;0.05
4.083333;9837;0;409.875;0;0.3
4.166667;567.75;0;23.65625;0;0.25
4.250000;5834.05;0;243.0854167;0;0.15
4.333333;15527.05;0;646.9604167;0;0.25
4.416667;144;0;6;0;0.45
4.500000;1744.25;12;72.67708333;0.5;0.5
4.583333;303547.1;0;12647.79583;0;0.35
4.666667;27259.7;0;1135.820833;0;0.2
4.750000;348579.2;12;14524.13333;0.5;0.45
4.833333;194.05;24;8.085416667;1;0.6
4.916667;172.5;25;7.1875;1.041666667;0.65
5.000000;23.4;24;0.975;1;0.65
5.083333;51.65;24;2.152083333;1;0.55
5.166667;31.4;24;1.308333333;1;0.65
5.250000;470383.75;26;19599.32292;1.083333333;0.85
5.333333;207.65;25;8.652083333;1.041666667;0.75
5.416667;219.55;24;9.147916667;1;0.75
5.500000;1417135.45;25;59047.31042;1.041666667;0.7
5.583333;46.75;24;1.947916667;1;0.85
5.666667;61406.9;32.5;2558.620833;1.354166667;0.8
5.750000;91.6;26;3.816666667;1.083333333;0.8
5.833333;72.75;24;3.03125;1;0.6
5.916667;24.4;24;1.016666667;1;0.8
6.000000;23.6;26;0.983333333;1.083333333;0.85
6.083333;30.65;26;1.277083333;1.083333333;0.9
6.166667;2565.4;26.5;106.8916667;1.104166667;0.95
6.250000;37.1;26;1.545833333;1.083333333;0.95
6.333333;27.2;26;1.133333333;1.083333333;0.75
6.416667;25.85;26;1.077083333;1.083333333;1
6.500000;24.75;24;1.03125;1;0.9
6.583333;117.25;26;4.885416667;1.083333333;0.95
6.666667;26.9;25;1.120833333;1.041666667;1
6.750000;28.25;26;1.177083333;1.083333333;0.95
6.833333;33.3;26;1.3875;1.083333333;1
6.916667;33.35;26;1.389583333;1.083333333;0.95
7.000000;26;26;1.083333333;1.083333333;1
7.083333;34.5;26;1.4375;1.083333333;1
7.166667;26;24;1.083333333;1;1
7.250000;26.7;24;1.1125;1;0.95
7.333333;141.75;24;5.90625;1;0.95
7.416667;24.15;24;1.00625;1;0.8
7.500000;138.5;27.5;5.770833333;1.145833333;0.95
7.583333;27.35;26;1.139583333;1.083333333;0.95
7.666667;26.25;24;1.09375;1;0.9
7.750000;28.75;26;1.197916667;1.083333333;1
7.833333;66.25;26;2.760416667;1.083333333;0.95
7.916667;31.3;26;1.304166667;1.083333333;1
8.000000;27.55;24;1.147916667;1;0.95
8.083333;32.55;25;1.35625;1.041666667;1
8.166667;23.65;24;0.985416667;1;0.95
8.250000;25.6;24;1.066666667;1;1
8.333333;25.25;24;1.052083333;1;1
8.416667;26.5;24;1.104166667;1;1
8.500000;25.8;24;1.075;1;1
8.583333;26.85;25;1.11875;1.041666667;0.95
8.666667;42.6;26;1.775;1.083333333;1
8.750000;29.5;26;1.229166667;1.083333333;1
8.833333;27.5;24;1.145833333;1;1
8.916667;30.6;24;1.275;1;1
9.000000;118.3;25;4.929166667;1.041666667;1
9.083333;28.9;24;1.204166667;1;1
9.166667;32.6;25;1.358333333;1.041666667;1
9.250000;25.65;24;1.06875;1;1
9.333333;581.5;24;24.22916667;1;1
9.416667;32.05;26;1.335416667;1.083333333;1
9.500000;24.85;24;1.035416667;1;1
9.583333;26.6;25;1.108333333;1.041666667;1
9.666667;24.95;24;1.039583333;1;1
9.750000;25.4;26;1.058333333;1.083333333;1
9.833333;24.4;24;1.016666667;1;1
9.916667;27.85;24;1.160416667;1;1
10.000000;40.85;26;1.702083333;1.083333333;1
10.083333;24.9;24;1.0375;1;1
10.166667;27.6;24;1.15;1;1
10.250000;25.6;25;1.066666667;1.041666667;1
10.333333;25.4;24;1.058333333;1;1
10.416667;25.95;25;1.08125;1.041666667;1
10.500000;25.7;24;1.070833333;1;1
10.583333;24.7;24;1.029166667;1;1
10.666667;25.55;24;1.064583333;1;1
10.750000;25.85;24;1.077083333;1;1
10.833333;26.75;24;1.114583333;1;1
10.916667;24.9;24;1.0375;1;1
11.000000;24.3;24;1.0125;1;1
11.083333;26;24;1.083333333;1;1
11.166667;24.8;24;1.033333333;1;1
11.250000;25.85;24;1.077083333;1;1
11.333333;24.3;24;1.0125;1;1
11.416667;24.65;24;1.027083333;1;1
11.500000;24.55;24;1.022916667;1;1
11.583333;24.7;24;1.029166667;1;1
11.666667;25.1;24;1.045833333;1;1
11.750000;25.45;24;1.060416667;1;1
11.833333;24.2;24;1.008333333;1;1
11.916667;24.65;24;1.027083333;1;1
12.000000;24.85;24;1.035416667;1;1
12.083333;24.6;24;1.025;1;1
12.166667;25.25;24;1.052083333;1;1
12.250000;25;24;1.041666667;1;1
12.333333;24.95;24;1.039583333;1;1
12.416667;24.1;24;1.004166667;1;1
12.500000;25;24;1.041666667;1;1
12.583333;24.85;24;1.035416667;1;1
12.666667;25.75;24;1.072916667;1;1
12.750000;25.2;24;1.05;1;1
12.833333;24.95;24;1.039583333;1;1
12.916667;25.2;24;1.05;1;1
13.000000;24.3;24;1.0125;1;1
13.083333;25.4;24;1.058333333;1;1
13.166667;24.55;24;1.022916667;1;1
13.250000;24.75;24;1.03125;1;1
13.333333;24.85;24;1.035416667;1;1
13.416667;24.6;24;1.025;1;1
13.500000;25.1;24;1.045833333;1;1
13.583333;24.2;24;1.008333333;1;1
